number,value,datetime_start,datetime_complete,duration,params_ema_span,params_gamma,params_imbalance_skew_factor,params_inventory_skew_factor,params_k,params_max_drawdown_pct,params_max_inventory_lots,params_range_spread_multiplier,params_tau,params_trend_size_multiplier,params_trend_spread_multiplier,state
34,-3.061214136233045,2026-07-19 20:27:24.553414,2026-07-19 20:27:25.348384,0 days 00:00:00.794970,34,0.8097017225231071,0.6107181264707136,2.022795790560122,4.316898609944969,0.04954539189689858,1,1.1982874163808814,1.4562818622946117,0.5408015231953516,2.886758342909302,COMPLETE
35,-0.3110682502116132,2026-07-19 20:27:25.348946,2026-07-19 20:27:25.635428,0 days 00:00:00.286482,44,0.21679873827209678,1.1101410175403963,1.1095111157693824,2.7080182275208258,0.06887768000970751,1,0.5840377195974763,0.9341245756945328,0.6267190170159233,2.519240764742276,PRUNED
36,-3.2482405446477163,2026-07-19 20:27:25.636008,2026-07-19 20:27:26.492783,0 days 00:00:00.856775,18,0.590600835374694,0.7341599673733717,1.400781536845224,2.0404424989752727,0.03452395652561469,1,0.9995063419253609,0.8700888391724748,0.3580871940323316,2.3592431230140707,COMPLETE
37,-0.09075907152876236,2026-07-19 20:27:26.493407,2026-07-19 20:27:26.918486,0 days 00:00:00.425079,47,0.46147355347077146,0.9554567035346634,2.5730849665786453,3.57212145462627,0.05612246115936045,1,1.0924891090506377,0.5139247666898751,0.4684408549045413,2.672022058243113,PRUNED
38,-0.052011326934190645,2026-07-19 20:27:26.919438,2026-07-19 20:27:27.370688,0 days 00:00:00.451250,35,0.6897098766669265,1.1590197695780537,1.6930797977387457,4.051229406645473,0.04050819709860439,1,1.0507292897893998,1.2356765255080364,0.4349197282698161,1.8816407036235503,PRUNED
39,-0.17732691543854476,2026-07-19 20:27:27.371514,2026-07-19 20:27:27.920774,0 days 00:00:00.549260,32,0.037059220145729474,0.29394872887533174,2.9912047612988117,1.8131320327082294,0.09167630944830188,2,0.769223168058812,1.640145323948284,0.6805268308433051,2.9094559677730585,PRUNED
40,-3.1669500794781005,2026-07-19 20:27:27.921604,2026-07-19 20:27:28.673478,0 days 00:00:00.751874,39,0.01049475726450203,0.16056492927600846,2.1657824885915593,4.654611667016773,0.0517118681705519,1,0.8512384243341233,1.813490895721917,0.9976702977108884,2.2574196416402437,COMPLETE
41,-0.5506586819089391,2026-07-19 20:27:28.674335,2026-07-19 20:27:28.981511,0 days 00:00:00.307176,27,0.33373040252609304,0.42754130283221947,1.870021359525319,4.520274139848864,0.035593763007057425,3,1.1645193451443654,1.2631162126197342,0.5218453696426701,2.932624302806975,PRUNED
42,-2.6053191532809885,2026-07-19 20:27:28.982318,2026-07-19 20:27:29.849110,0 days 00:00:00.866792,25,0.3638835086343512,0.6901888445993976,2.2888858921408106,4.2798685785247965,0.040668133259985376,2,1.1452188855156378,1.0756695030535446,0.5983628286696254,2.7281607472513127,COMPLETE
43,-0.40314819798592505,2026-07-19 20:27:29.849795,2026-07-19 20:27:30.159579,0 days 00:00:00.309784,30,0.9805982280254717,0.5119459972466133,1.8425186486354623,3.8801190648982677,0.06577249592805377,2,1.1117192121389736,1.3270473661240774,0.5034140781729514,2.8574874907873693,PRUNED
44,-3.1294787180247536,2026-07-19 20:27:30.160387,2026-07-19 20:27:30.911594,0 days 00:00:00.751207,43,0.6721634803354651,0.34084776193166766,2.0341040260018497,4.1940847962808725,0.044414933079185454,2,1.1998608163467812,1.1788442713493639,0.5407022853380826,2.7781427126934584,COMPLETE
45,-0.09517460897050455,2026-07-19 20:27:30.912365,2026-07-19 20:27:31.440797,0 days 00:00:00.528432,20,0.24682976557183559,0.5945456557493536,1.6096272648483265,4.990015539627786,0.031492663298338525,3,1.1703251590716703,1.9507526961587733,0.4079197008285621,2.9068365570497123,PRUNED
46,-0.3652967207402928,2026-07-19 20:27:31.441501,2026-07-19 20:27:31.804692,0 days 00:00:00.363191,34,0.3081302280839953,0.1081780472328771,1.1325840607200615,4.701571109239486,0.1494872120666462,2,0.9011418382693845,1.4921276355339497,0.6686668410011251,2.9973295169084357,PRUNED
47,-0.16292431103436167,2026-07-19 20:27:31.805251,2026-07-19 20:27:32.129420,0 days 00:00:00.324169,49,0.13174635070152546,0.21815236166202456,1.8014771723995977,3.6814958987319177,0.10264553989542632,2,1.021920880191163,1.3037993384198199,0.2641045592339577,2.612538048448263,PRUNED
48,-0.6324990671492905,2026-07-19 20:27:32.130142,2026-07-19 20:27:32.447629,0 days 00:00:00.317487,36,0.4598403395572699,0.7790673635587546,0.667698734984502,2.9794854887310653,0.1326481547430987,3,1.070304976586661,1.0650692527758254,0.6454464117316803,2.8224874633094537,PRUNED
49,-0.26064682256276434,2026-07-19 20:27:32.449695,2026-07-19 20:27:32.770945,0 days 00:00:00.321250,28,0.3547336735949487,0.932084278038822,2.0188056773621965,3.271301322361273,0.07210943644424848,1,1.1535747200702802,1.1847253201534036,0.7493270034697743,1.6215796675943703,PRUNED
50,0.10424902614377705,2026-07-19 20:27:32.772072,2026-07-19 20:27:33.327946,0 days 00:00:00.555874,24,0.029064004901435007,0.38224875686111426,0.9796472923366304,4.0168523392944495,0.03602679807373379,1,0.9679447222273003,0.7565894067865442,0.44957209211036586,2.45989365898223,PRUNED
